agreement_code,exporter_country,importer_region,tariff_code,hs4_code,nomenclature_version,heading_4_description,branch_context,heading_6_code,heading_6_description,subheading_context,leaf_description,description,base_rate_pct,base_rate_text,tariff_category,entry_price_text,source_document,source_section,source_page,source_excerpt
EU_KOREA_FTA,Corée du Sud,UE,85284100,8528,NC2007,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images:",Moniteurs à tube cathodique:,852841,,,des types exclusivement ou principalement destines à une machine automatique de traitement de l'information du n°8471,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Moniteurs à tube cathodique: — des types exclusivement ou principalement destines à une machine automatique de traitement de l'information du n°8471",0.0,exemption,0,,Accord de libre-échange UE-Corée — version consolidée 01.01.2023,Annexe 2-A,1203,"85284100 | Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Moniteurs à tube cathodique: — des types exclusivement ou principalement destines à une machine automatique de traitement de l'information du n°8471 | Taux de base: exemption | Catégorie: 0"
EU_KOREA_FTA,Corée du Sud,UE,85284910,8528,NC2007,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images:",Moniteurs à tube cathodique:,852849,autres:,,en noir et blanc ou en autres monochromes,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Moniteurs à tube cathodique: — autres: — en noir et blanc ou en autres monochromes",14.0,14,5,,Accord de libre-échange UE-Corée — version consolidée 01.01.2023,Annexe 2-A,1203,"85284910 | Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Moniteurs à tube cathodique: — autres: — en noir et blanc ou en autres monochromes | Taux de base: 14 | Catégorie: 5"
EU_KOREA_FTA,Corée du Sud,UE,85284935,8528,NC2007,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images:",Moniteurs à tube cathodique:,852849,autres:,en couleurs:,"présentant un rapport largeur/hauteur de l'écran inférieur à 1,5","Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Moniteurs à tube cathodique: — autres: — en couleurs: — présentant un rapport largeur/hauteur de l'écran inférieur à 1,5",14.0,14,5,,Accord de libre-échange UE-Corée — version consolidée 01.01.2023,Annexe 2-A,1203,"85284935 | Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Moniteurs à tube cathodique: — autres: — en couleurs: — présentant un rapport largeur/hauteur de l'écran inférieur à 1,5 | Taux de base: 14 | Catégorie: 5"
EU_KOREA_FTA,Corée du Sud,UE,85284991,8528,NC2007,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images:",Moniteurs à tube cathodique:,852849,autres:,en couleurs: — autres:,dont les paramètres d'analyse n'excèdent pas 625 lignes,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Moniteurs à tube cathodique: — autres: — en couleurs: — dont les paramètres d'analyse n'excèdent pas 625 lignes",14.0,14,5,,Accord de libre-échange UE-Corée — version consolidée 01.01.2023,Annexe 2-A,1203,"85284991 | Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Moniteurs à tube cathodique: — autres: — en couleurs: — dont les paramètres d'analyse n'excèdent pas 625 lignes | Taux de base: 14 | Catégorie: 5"
EU_KOREA_FTA,Corée du Sud,UE,85284999,8528,NC2007,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images:",Moniteurs à tube cathodique:,852849,autres:,en couleurs: — autres:,dont les paramètres d'analyse excèdent 625 lignes,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Moniteurs à tube cathodique: — autres: — en couleurs: — dont les paramètres d'analyse excèdent 625 lignes",14.0,14,5,,Accord de libre-échange UE-Corée — version consolidée 01.01.2023,Annexe 2-A,1203,"85284999 | Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Moniteurs à tube cathodique: — autres: — en couleurs: — dont les paramètres d'analyse excèdent 625 lignes | Taux de base: 14 | Catégorie: 5"
EU_KOREA_FTA,Corée du Sud,UE,85285100,8528,NC2007,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images:",autres moniteurs:,852851,,,des types exclusivement ou principalement destines à une machine automatique de traitement de l'information du n°8471,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — autres moniteurs: — des types exclusivement ou principalement destines à une machine automatique de traitement de l'information du n°8471",0.0,exemption,0,,Accord de libre-échange UE-Corée — version consolidée 01.01.2023,Annexe 2-A,1203,"85285100 | Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — autres moniteurs: — des types exclusivement ou principalement destines à une machine automatique de traitement de l'information du n°8471 | Taux de base: exemption | Catégorie: 0"
EU_KOREA_FTA,Corée du Sud,UE,85285910,8528,NC2007,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images:",autres moniteurs:,852859,autres:,,en noir et blanc ou en autres monochromes,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — autres moniteurs: — autres: — en noir et blanc ou en autres monochromes",14.0,14,5,,Accord de libre-échange UE-Corée — version consolidée 01.01.2023,Annexe 2-A,1203,"85285910 | Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — autres moniteurs: — autres: — en noir et blanc ou en autres monochromes | Taux de base: 14 | Catégorie: 5"
EU_KOREA_FTA,Corée du Sud,UE,85285990,8528,NC2007,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images:",autres moniteurs:,852859,autres:,,en couleurs,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — autres moniteurs: — autres: — en couleurs",14.0,14,5,,Accord de libre-échange UE-Corée — version consolidée 01.01.2023,Annexe 2-A,1203,"85285990 | Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — autres moniteurs: — autres: — en couleurs | Taux de base: 14 | Catégorie: 5"
EU_KOREA_FTA,Corée du Sud,UE,85286100,8528,NC2007,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images:",Projecteurs:,852861,,,des types exclusivement ou principalement destinés à une machine automatique de traitement de l'information du n°8471,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Projecteurs: — des types exclusivement ou principalement destinés à une machine automatique de traitement de l'information du n°8471",0.0,exemption,0,,Accord de libre-échange UE-Corée — version consolidée 01.01.2023,Annexe 2-A,1204,"85286100 | Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Projecteurs: — des types exclusivement ou principalement destinés à une machine automatique de traitement de l'information du n°8471 | Taux de base: exemption | Catégorie: 0"
EU_KOREA_FTA,Corée du Sud,UE,85286910,8528,NC2007,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images:",Projecteurs:,852869,autres:,,"fonctionnant à l'aide d'un écran plat (par exemple, à dispositifs à cristaux liquides), permettant l'affichage d'informations numériques générées par une machine automatique de traitement de l'information","Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Projecteurs: — autres: — fonctionnant à l'aide d'un écran plat (par exemple, à dispositifs à cristaux liquides), permettant l'affichage d'informations numériques générées par une machine automatique de traitement de l'information",0.0,exemption,0,,Accord de libre-échange UE-Corée — version consolidée 01.01.2023,Annexe 2-A,1204,"85286910 | Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: — Projecteurs: — autres: — fonctionnant à l'aide d'un écran plat (par exemple, à dispositifs à cristaux liquides), permettant l'affichage d'informations numériques générées par une machine automatique de traitement de l'information | Taux de base: exemption | Catégorie: 0"
