nc_code,description,heading_4_code,heading_4_description,intermediate_heading,intermediate_is_residual,heading_6_code,heading_6_description,heading_6_is_residual,subheading,subheading_is_residual,leaf_description,leaf_is_residual,parent_code,has_residual_ancestor,duty_rate,duty_text,supplementary_unit,source_document,source_section,source_page,source_excerpt
85061011,Piles et batteries de piles électriques: — alcalines: — Piles cylindriques,8506,Piles et batteries de piles électriques:,alcalines:,False,850610,,,,,Piles cylindriques,False,850610,False,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — alcalines: — Piles cylindriques
85061018,Piles et batteries de piles électriques: — alcalines: — autres,8506,Piles et batteries de piles électriques:,alcalines:,False,850610,,,,,autres,True,850610,False,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — alcalines: — autres
85061091,Piles et batteries de piles électriques: — autres: — Piles cylindriques,8506,Piles et batteries de piles électriques:,autres:,True,850610,,,,,Piles cylindriques,False,850610,True,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — autres: — Piles cylindriques
85061098,Piles et batteries de piles électriques: — autres: — autres,8506,Piles et batteries de piles électriques:,autres:,True,850610,,,,,autres,True,850610,True,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — autres: — autres
85063000,Piles et batteries de piles électriques: — à l'oxyde de mercure,8506,Piles et batteries de piles électriques:,,,850630,,,,,à l'oxyde de mercure,False,850630,False,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — à l'oxyde de mercure
85064000,Piles et batteries de piles électriques: — à l'oxyde d'argent,8506,Piles et batteries de piles électriques:,,,850640,,,,,à l'oxyde d'argent,False,850640,False,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — à l'oxyde d'argent
85065010,Piles et batteries de piles électriques: — au lithium: — Piles cylindriques,8506,Piles et batteries de piles électriques:,,,850650,au lithium:,False,,,Piles cylindriques,False,850650,False,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — au lithium: — Piles cylindriques
85065030,Piles et batteries de piles électriques: — au lithium: — Piles bouton,8506,Piles et batteries de piles électriques:,,,850650,au lithium:,False,,,Piles bouton,False,850650,False,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — au lithium: — Piles bouton
85065090,Piles et batteries de piles électriques: — au lithium: — autres,8506,Piles et batteries de piles électriques:,,,850650,au lithium:,False,,,autres,True,850650,False,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — au lithium: — autres
85066000,Piles et batteries de piles électriques: — à l'air-zinc,8506,Piles et batteries de piles électriques:,,,850660,,,,,à l'air-zinc,False,850660,False,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — à l'air-zinc
85068005,"Piles et batteries de piles électriques: — autres piles et batteries de piles: — Batteries sèches au zinc-carbure d'une tension de 5,5 V ou plus mais n'excédant pas 6,5 V",8506,Piles et batteries de piles électriques:,,,850680,autres piles et batteries de piles:,True,,,"Batteries sèches au zinc-carbure d'une tension de 5,5 V ou plus mais n'excédant pas 6,5 V",False,850680,True,0.0,exemption,p/st,Nomenclature combinée 2024,,622,"Piles et batteries de piles électriques: — autres piles et batteries de piles: — Batteries sèches au zinc-carbure d'une tension de 5,5 V ou plus mais n'excédant pas 6,5 V"
85068080,Piles et batteries de piles électriques: — autres piles et batteries de piles: — autres,8506,Piles et batteries de piles électriques:,,,850680,autres piles et batteries de piles:,True,,,autres,True,850680,True,4.7,"4,7",p/st,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — autres piles et batteries de piles: — autres
85069000,Piles et batteries de piles électriques: — Parties,8506,Piles et batteries de piles électriques:,,,850690,,,,,Parties,False,850690,False,4.7,"4,7",,Nomenclature combinée 2024,,622,Piles et batteries de piles électriques: — Parties
