nc_code,description,heading_4_code,heading_4_description,intermediate_heading,heading_6_code,heading_6_description,subheading,leaf_description,parent_code,branch_type,is_residual,duty_rate,duty_text,supplementary_unit,source_document,source_section,source_page,source_excerpt
15011010,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: — Saindoux: — destiné à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1)",1501,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503:",,150110,Saindoux:,,destiné à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1),150110,specific,False,0.0,exemption,,Nomenclature combinée 2024,,135,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: — Saindoux: — destiné à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1)"
15011090,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: — Saindoux: — autres",1501,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503:",,150110,Saindoux:,,autres,150110,residual,True,,"17,2 €/100 kg/net",,Nomenclature combinée 2024,,135,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: — Saindoux: — autres"
15012010,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: — autres graisses de porc: — destinées à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1)",1501,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503:",,150120,autres graisses de porc:,,destinées à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1),150120,specific,False,0.0,exemption,,Nomenclature combinée 2024,,135,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: — autres graisses de porc: — destinées à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1)"
15012090,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: — autres graisses de porc: — autres",1501,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503:",,150120,autres graisses de porc:,,autres,150120,residual,True,,"17,2 €/100 kg/net",,Nomenclature combinée 2024,,135,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: — autres graisses de porc: — autres"
15019000,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: — autres",1501,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503:",,150190,,,autres,150190,residual,True,11.5,"11,5",,Nomenclature combinée 2024,,135,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: — autres"
15021010,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503: — Suif: — destiné à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1)",1502,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503:",,150210,Suif:,,destiné à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1),150210,specific,False,0.0,exemption,,Nomenclature combinée 2024,,135,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503: — Suif: — destiné à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1)"
15021090,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503: — Suif: — autres",1502,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503:",,150210,Suif:,,autres,150210,residual,True,3.2,"3,2",,Nomenclature combinée 2024,,135,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503: — Suif: — autres"
15029010,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503: — autres: — destinées à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1)",1502,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503:",,150290,autres:,,destinées à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1),150290,specific,False,0.0,exemption,,Nomenclature combinée 2024,,135,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503: — autres: — destinées à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1)"
15029090,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503: — autres: — autres",1502,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503:",,150290,autres:,,autres,150290,residual,True,3.2,"3,2",,Nomenclature combinée 2024,,135,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503: — autres: — autres"
15041010,"Graisses et huiles et leurs fractions, de poissons ou de mammifères marins, même raffinées, mais non chimiquement modifiées: — Huiles de foies de poissons et leurs fractions: — d'une teneur en vitamine A égale ou inférieure à 2 500 unités internationales par gramme",1504,"Graisses et huiles et leurs fractions, de poissons ou de mammifères marins, même raffinées, mais non chimiquement modifiées:",,150410,Huiles de foies de poissons et leurs fractions:,,d'une teneur en vitamine A égale ou inférieure à 2 500 unités internationales par gramme,150410,specific,False,3.8,"3,8",,Nomenclature combinée 2024,,135,"Graisses et huiles et leurs fractions, de poissons ou de mammifères marins, même raffinées, mais non chimiquement modifiées: — Huiles de foies de poissons et leurs fractions: — d'une teneur en vitamine A égale ou inférieure à 2 500 unités internationales par gramme"
