nc_code,description,heading_4_code,heading_4_description,intermediate_heading,heading_6_code,heading_6_description,subheading,leaf_description,parent_code,branch_type,is_residual,duty_rate,duty_text,supplementary_unit,source_document,source_section,source_page,source_excerpt
90151000,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Télémètres",9015,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres:",,901510,,,Télémètres,901510,specific,False,0.0,exemption,,Nomenclature combinée 2024,,676,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Télémètres"
90152000,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Théodolites et tachéomètres",9015,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres:",,901520,,,Théodolites et tachéomètres,901520,specific,False,0.0,exemption,,Nomenclature combinée 2024,,676,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Théodolites et tachéomètres"
90153010,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Niveaux: — électroniques",9015,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres:",,901530,Niveaux:,,électroniques,901530,specific,False,3.7,"3,7",,Nomenclature combinée 2024,,676,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Niveaux: — électroniques"
90153090,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Niveaux: — autres",9015,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres:",,901530,Niveaux:,,autres,901530,residual,True,2.7,"2,7",,Nomenclature combinée 2024,,676,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Niveaux: — autres"
90154000,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Instruments et appareils de photogrammétrie",9015,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres:",,901540,,,Instruments et appareils de photogrammétrie,901540,specific,False,0.0,exemption,,Nomenclature combinée 2024,,676,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Instruments et appareils de photogrammétrie"
90158020,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — autres instruments et appareils: — de météorologie, d'hydrologie et de géophysique",9015,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres:",,901580,autres instruments et appareils:,,"de météorologie, d'hydrologie et de géophysique",901580,specific,False,0.0,exemption,,Nomenclature combinée 2024,,676,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — autres instruments et appareils: — de météorologie, d'hydrologie et de géophysique"
90158040,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — autres instruments et appareils: — -- de géodésie, de topographie, d'arpentage, de nivellement et d'hydrographie",9015,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres:",,901580,autres instruments et appareils:,,"-- de géodésie, de topographie, d'arpentage, de nivellement et d'hydrographie",901580,specific,False,0.0,exemption,,Nomenclature combinée 2024,,676,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — autres instruments et appareils: — -- de géodésie, de topographie, d'arpentage, de nivellement et d'hydrographie"
90158080,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — autres instruments et appareils: — autres",9015,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres:",,901580,autres instruments et appareils:,,autres,901580,residual,True,0.0,exemption,,Nomenclature combinée 2024,,676,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — autres instruments et appareils: — autres"
90159000,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Parties et accessoires",9015,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres:",,901590,,,Parties et accessoires,901590,specific,False,0.0,exemption,,Nomenclature combinée 2024,,676,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: — Parties et accessoires"
90171010,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre: — Tables et machines à dessiner, même automatiques: — Traceurs",9017,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre:",,901710,"Tables et machines à dessiner, même automatiques:",,Traceurs,901710,specific,False,0.0,exemption,p/st,Nomenclature combinée 2024,,676,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre: — Tables et machines à dessiner, même automatiques: — Traceurs"
90171090,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre: — Tables et machines à dessiner, même automatiques: — autres",9017,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre:",,901710,"Tables et machines à dessiner, même automatiques:",,autres,901710,residual,True,2.7,"2,7",p/st,Nomenclature combinée 2024,,676,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre: — Tables et machines à dessiner, même automatiques: — autres"
90172005,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre: — autres instruments de dessin, de traçage ou de calcul: — Traceurs",9017,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre:",,901720,"autres instruments de dessin, de traçage ou de calcul:",,Traceurs,901720,specific,False,0.0,exemption,p/st,Nomenclature combinée 2024,,676,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre: — autres instruments de dessin, de traçage ou de calcul: — Traceurs"
90172010,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre: — autres instruments de dessin, de traçage ou de calcul: — autres instruments de dessin",9017,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre:",,901720,"autres instruments de dessin, de traçage ou de calcul:",,autres instruments de dessin,901720,residual,True,2.7,"2,7",,Nomenclature combinée 2024,,676,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre: — autres instruments de dessin, de traçage ou de calcul: — autres instruments de dessin"
