nc_code,description,heading_4_code,heading_4_description,intermediate_heading,intermediate_is_residual,heading_6_code,heading_6_description,heading_6_is_residual,subheading,subheading_is_residual,leaf_description,leaf_is_residual,parent_code,has_residual_ancestor,duty_rate,duty_text,supplementary_unit,source_document,source_section,source_page,source_excerpt
90181100,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — -- Électrocardiographes",9018,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels:",Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques):,False,901811,,,,,-- Électrocardiographes,False,901811,False,0.0,exemption,,Nomenclature combinée 2024,,677,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — -- Électrocardiographes"
90181200,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — Appareils de diagnostic par balayage ultrasonique (scanners)",9018,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels:",Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques):,False,901812,,,,,Appareils de diagnostic par balayage ultrasonique (scanners),False,901812,False,0.0,exemption,,Nomenclature combinée 2024,,677,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — Appareils de diagnostic par balayage ultrasonique (scanners)"
90181300,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — Appareils de diagnostic par visualisation à résonance magnétique",9018,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels:",Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques):,False,901813,,,,,Appareils de diagnostic par visualisation à résonance magnétique,False,901813,False,0.0,exemption,,Nomenclature combinée 2024,,677,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — Appareils de diagnostic par visualisation à résonance magnétique"
90181400,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — Appareils de scintigraphie",9018,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels:",Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques):,False,901814,,,,,Appareils de scintigraphie,False,901814,False,0.0,exemption,,Nomenclature combinée 2024,,677,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — Appareils de scintigraphie"
90181910,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — autres: — Appareils de surveillance simultanée de deux ou plusieurs paramètres physiologiques",9018,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels:",Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques):,False,901819,autres:,True,,,Appareils de surveillance simultanée de deux ou plusieurs paramètres physiologiques,False,901819,True,0.0,exemption,,Nomenclature combinée 2024,,677,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — autres: — Appareils de surveillance simultanée de deux ou plusieurs paramètres physiologiques"
90181990,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — autres: — autres",9018,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels:",Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques):,False,901819,autres:,True,,,autres,True,901819,True,0.0,exemption,,Nomenclature combinée 2024,,677,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): — autres: — autres"
90182000,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils à rayons ultraviolets ou infrarouges",9018,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels:",,,901820,,,,,Appareils à rayons ultraviolets ou infrarouges,False,901820,False,0.0,exemption,,Nomenclature combinée 2024,,677,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Appareils à rayons ultraviolets ou infrarouges"
90183110,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Seringues, aiguilles, cathéters, canules et instruments similaires: — Seringues, avec ou sans aiguilles: — en matières plastiques",9018,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels:","Seringues, aiguilles, cathéters, canules et instruments similaires:",False,901831,"Seringues, avec ou sans aiguilles:",False,,,en matières plastiques,False,901831,False,0.0,exemption,,Nomenclature combinée 2024,,677,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Seringues, aiguilles, cathéters, canules et instruments similaires: — Seringues, avec ou sans aiguilles: — en matières plastiques"
90183190,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Seringues, aiguilles, cathéters, canules et instruments similaires: — Seringues, avec ou sans aiguilles: — autres",9018,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels:","Seringues, aiguilles, cathéters, canules et instruments similaires:",False,901831,"Seringues, avec ou sans aiguilles:",False,,,autres,True,901831,False,0.0,exemption,,Nomenclature combinée 2024,,677,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Seringues, aiguilles, cathéters, canules et instruments similaires: — Seringues, avec ou sans aiguilles: — autres"
90183210,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Seringues, aiguilles, cathéters, canules et instruments similaires: — Aiguilles tubulaires en métal et aiguilles à sutures: — Aiguilles tubulaires en métal",9018,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels:","Seringues, aiguilles, cathéters, canules et instruments similaires:",False,901832,Aiguilles tubulaires en métal et aiguilles à sutures:,False,,,Aiguilles tubulaires en métal,False,901832,False,0.0,exemption,,Nomenclature combinée 2024,,677,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: — Seringues, aiguilles, cathéters, canules et instruments similaires: — Aiguilles tubulaires en métal et aiguilles à sutures: — Aiguilles tubulaires en métal"
