NC2007 ,Description ,Taux de base ,Catégorie ,Prix d'entrée 
8527 91 91 ,à cassettes et à système de lecture analogique et numérique ,14 ,0 ,
8527 91 99 ,autres ,10 ,0 ,
8527 92 ,non combinés à un appareil d'enregistre- ment ou de reproduction du son mais combinés à un appareil d'horlogerie: ,,,
8527 92 10 ,Radioréveils ,exemption ,0 ,
8527 92 90 ,autres ,9 ,0 ,
8527 99 00 ,autres ,9 ,0 ,
8528 ,"Moniteurs et projecteurs, n'incorporant pas d'appareil de réception de télévision; appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodiffusion ou un appareil d'enregistrement ou de reproduction du son ou des images: ",,,
,Moniteurs à tube cathodique: ,,,
8528 41 00 ,des types exclusivement ou principalement destines à une machine automatique de trai- tement de l'information du n°8471 ,exemption ,0 ,
8528 49 ,autres: ,,,
8528 49 10 ,en noir et blanc ou en autres monochro- mes ,14 ,5 ,
,en couleurs: ,,,
8528 49 35 ,"présentant un rapport largeur/hauteur de l'écran inférieur à 1,5 ",14 ,5 ,
,autres: ,,,
8528 49 91 ,dont les paramètres d'analyse n'excè- dent pas 625 lignes ,14 ,5 ,
8528 49 99 ,dont les paramètres d'analyse excèdent 625 lignes ,14 ,5 ,
,autres moniteurs: ,,,
8528 51 00 ,des types exclusivement ou principalement destines à une machine automatique de trai- tement de l'information du n°8471 ,exemption ,0 ,
8528 59 ,autres: ,,,
8528 59 10 ,en noir et blanc ou en autres monochro- mes ,14 ,5 ,
8528 59 90 ,en couleurs ,14 ,5 ,
,Projecteurs: ,,,

