Code NC ,Désignation des marchandises ,Taux du droit conventionnel (%) ,Unité supplémentaire 
1 ,2 ,3 ,4 
9015 ,"Instruments et appareils de géodésie, de topographie, d'arpentage, de nivellement, de photogrammétrie, d'hydrographie, d'océanographie, d'hydrologie, de météorologie ou de géophysique, à l'exclusion des boussoles; télémètres: ",,
9015 10 00 ,Télémètres ,exemption ,
9015 20 00 ,Théodolites et tachéomètres ,exemption ,
9015 30 ,Niveaux: ,,
9015 30 10 ,électroniques ,"3,7 ",
9015 30 90 ,autres ,"2,7 ",
9015 40 00 ,Instruments et appareils de photogrammétrie ,exemption ,
9015 80 ,autres instruments et appareils: ,,
9015 80 20 ,"de météorologie, d'hydrologie et de géophysique ",exemption ,
9015 80 40 ,"-- de géodésie, de topographie, d'arpentage, de nivellement et d'hydrographie ",exemption ,
9015 80 80 ,autres ,exemption ,
9015 90 00 ,Parties et accessoires ,exemption ,
9016 00 ,"Balances sensibles à un poids de 5 cg ou moins, avec ou sans poids: ",,
9016 00 10 ,Balances ,"3,7 ",p/st 
9016 00 90 ,Parties et accessoires ,"3,7 ",
9017 ,"Instruments de dessin, de traçage ou de calcul (machines à dessiner, pantographes, rapporteurs, étuis de mathématiques, règles et cercles à calcul, par exemple); instruments de mesure de longueurs, pour emploi à la main (mètres, micromètres, pieds à coulisse et calibres, par exemple), non dénommés ni compris ailleurs dans le présent chapitre: ",,
9017 10 ,"Tables et machines à dessiner, même automatiques: ",,
9017 10 10 ,Traceurs ,exemption ,p/st 
9017 10 90 ,autres ,"2,7 ",p/st 
9017 20 ,"autres instruments de dessin, de traçage ou de calcul: ",,
9017 20 05 ,Traceurs ,exemption ,p/st 
9017 20 10 ,autres instruments de dessin ,"2,7 ",
9017 20 39 ,Instruments de traçage ,"2,7 ",p/st 
9017 20 90 ,Instruments de calcul ,"2,7 ",p/st 
9017 30 00 ,"Micromètres, pieds à coulisse, calibres et jauges ","2,7 ",p/st 
9017 80 ,autres instruments: ,,
9017 80 10 ,Mètres et règles divisées ,"2,7 ",
9017 80 90 ,autres ,"2,7 ",

